organization_name,organization_id,dataset_count
La Gaude,5ba9f0bb634f416762d56c0c,1
Dododata,5ae685b1c751df0800b5b0f8,1
Département des Hauts-de-Seine,544e1b0888ee38289ae1ed05,4
Bibliothèque nationale de France,534fff5aa3a7292c64a77d09,7
Communauté d'Agglomeration Versailles Grand Parc,58c5a537c751df2fb0fde3c9,16
Le deuxième texte,58f7c89fc751df5bdb3b701f,2
Département des Côtes d'Armor,54aff788c751df39e138127d,5
Musée d'art et d'histoire - Ville de Saint-Brieuc,57e3e31888ee38155a5ff490,1
Ville de Saint-Malo,53ba4599a3a729219b7beaca,5
OpenEventDatabase,5759caa0c751df09eeac31a0,1
Région GRAND EST,55df259f88ee386e57a46ec2,1
Société des grands projets,534fffb1a3a7292c64a7811f,1
"Ministère de l'Agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",534fff8ca3a7292c64a77edf,1
Ministère de l'Europe et des Affaires Etrangères (MEAE),534fff94a3a7292c64a77fb5,2
Centre National des Œuvres Universitaires et Scolaires,552e97f3c751df636537dddb,1
Centre national du cinéma et de l'image animée,534fff5fa3a7292c64a77d49,7
Institut national de la statistique et des études économiques (Insee),534fff81a3a7292c64a77e5c,1
Ville de Digne-les-Bains,534fffb8a3a7292c64a78149,3
NosDonnées.fr,534fff99a3a7292c64a78016,13
Collectivité de Corse,537d58eea3a72973a2dc026c,6
OpenAgenda,534fff60a3a7292c64a77d53,1
Mairie de Toulouse,534fff8aa3a7292c64a77ecd,5
Loire-Atlantique Développement,534fff87a3a7292c64a77eb0,3
Musique et Danse en Loire-Atlantique,534fff98a3a7292c64a78011,2
Rennes Métropole,534fffaaa3a7292c64a780dd,15
Ville de Rennes,534fffb9a3a7292c64a7815d,3
Arts vivants en Ille-et-Vilaine,534fff55a3a7292c64a77cdf,1
Association Trans Musicales,534fff56a3a7292c64a77ce3,1
Ouest France,534fffa2a3a7292c64a7808c,1
Centre des monuments nationaux ,534fff5ea3a7292c64a77d40,4
Musée des arts asiatiques Guimet,534fff97a3a7292c64a7800b,3
Établissement public du musée d'Orsay et du musée de l'Orangerie,534fff74a3a7292c64a77de0,2
Conseil régional d'Aquitaine,534fff6aa3a7292c64a77d95,1
Conseil Départemental de la Gironde,534fff67a3a7292c64a77d83,1
